feature_file,model_type,time_lag,AIC,train_MSE,test_MSE
TokyoElectron-fulltext-featuredata.csv,linear,0,-547.67371548282,247552.01485865065,1325386.6841697865
TokyoElectron-fulltext-featuredata.csv,linear,12,-558.5697741485985,251653.18866106393,1574065.386299769
TokyoElectron-fulltext-featuredata.csv,linear,24,-572.4607684722379,246105.08093140987,1541649.0031441313
TokyoElectron-fulltext-featuredata.csv,linear,36,-585.0994018823178,239382.37863148178,1279859.0602173228
TokyoElectron-fulltext-featuredata.csv,linear,48,-588.1322254432996,222293.79367209363,1144702.465740522
TokyoElectron-fulltext-featuredata.csv,linear,60,-589.9704714891592,227695.4483337398,1122137.568070651
TokyoElectron-fulltext-featuredata.csv,linear,72,-586.5345151944426,230658.22587831755,1367479.6790099829
TokyoElectron-fulltext-featuredata.csv,linear,84,-579.5798797535934,268865.67829863826,1780393.3712864493
TokyoElectron-fulltext-featuredata.csv,linear,96,-570.3391358298152,273194.38649362087,2055764.6878221948
TokyoElectron-fulltext-featuredata.csv,linear,108,-567.9784958238224,294171.01457533374,2426687.456412874
TokyoElectron-fulltext-featuredata.csv,linear,120,-563.5554786060422,292115.904733078,2608833.093295331
TokyoElectron-abstract-featuredata.csv,linear,0,-557.3071068387133,251594.24999264366,1516155.9683750654
TokyoElectron-abstract-featuredata.csv,linear,12,-568.4864209143941,260324.94432683315,1770617.874021156
TokyoElectron-abstract-featuredata.csv,linear,24,-576.6618834390921,250684.32542036683,1693931.6845973649
TokyoElectron-abstract-featuredata.csv,linear,36,-592.1693280921602,222094.35081324077,1265770.7547850367
TokyoElectron-abstract-featuredata.csv,linear,48,-597.0751798277622,222637.00742314564,1107826.8533457278
TokyoElectron-abstract-featuredata.csv,linear,60,-593.4670857328443,222628.73026322297,1127933.6825662125
TokyoElectron-abstract-featuredata.csv,linear,72,-590.8572083070177,220813.06551477118,1224215.8510038373
TokyoElectron-abstract-featuredata.csv,linear,84,-586.050778350668,255395.6576432484,1581107.7089457116
TokyoElectron-abstract-featuredata.csv,linear,96,-572.5361204152704,272772.4801918112,2039005.0213765863
TokyoElectron-abstract-featuredata.csv,linear,108,-572.3888367734219,277352.941864486,2323441.3254854074
TokyoElectron-abstract-featuredata.csv,linear,120,-565.3143852520753,295081.20359204797,2657776.923017698
TokyoElectron-fullwabstract-featuredata.csv,linear,0,-551.7823458389687,241823.94013213596,1220089.8782486229
TokyoElectron-fullwabstract-featuredata.csv,linear,12,-561.7016244670972,262409.70477292413,1534512.5618202465
TokyoElectron-fullwabstract-featuredata.csv,linear,24,-575.1086228024878,246131.3285045046,1608316.2186641206
TokyoElectron-fullwabstract-featuredata.csv,linear,36,-590.3487172988355,235772.30116806953,1388008.2736365134
TokyoElectron-fullwabstract-featuredata.csv,linear,48,-589.7492614470711,221549.750160874,1083599.5776300891
TokyoElectron-fullwabstract-featuredata.csv,linear,60,-584.8231151872408,233690.49230200044,1124268.8915248162
TokyoElectron-fullwabstract-featuredata.csv,linear,72,-584.1761749833715,237849.36840737367,1389931.9969233263
TokyoElectron-fullwabstract-featuredata.csv,linear,84,-582.0035094431389,266103.42508709687,1674126.2273567799
TokyoElectron-fullwabstract-featuredata.csv,linear,96,-570.1359029828375,270533.59759947995,2003489.6342328277
TokyoElectron-fullwabstract-featuredata.csv,linear,108,-570.2159251761709,286915.0710162417,2383813.7947646654
TokyoElectron-fullwabstract-featuredata.csv,linear,120,-561.3845668074117,293174.07867953513,2569118.4453676846
